0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/lib1/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/js1/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/goldenlongur.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/Bengal_tiger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/Indian-one-horned-rhinoceros.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/Sangai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/lib1/counterup/counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/Asiatic_lion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/bg-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/indianelephant2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/img/bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/lib1/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/lib1/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/lib1/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "GET /IBM_PROJECT_2024/lib1/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:28 +0530] "GET /IBM_PROJECT_2024/img/favicon.ico HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:31 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:31 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:34 +0530] "GET /IBM_PROJECT_2024/registration.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:34 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:34 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:30 +0530] "GET /IBM_PROJECT_2024/registration.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:30 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:31 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:51 +0530] "POST /IBM_PROJECT_2024/register HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:51 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:51 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:55 +0530] "POST /IBM_PROJECT_2024/register HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:55 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:17:55 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
