127.0.0.1 - - [10/Sep/2024:19:44:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:44:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:02 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:06 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:12 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:16 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:17 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:18 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:26 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:26 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:31 +0530] "GET /IBM_PROJECTS_OJT2024/registration.jsp HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:31 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:31 +0530] "GET /IBM_PROJECTS_OJT2024/css/style.css HTTP/1.1" 200 19654
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:31 +0530] "GET /IBM_PROJECTS_OJT2024/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:31 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:31 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:32 +0530] "GET /IBM_PROJECTS_OJT2024/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:35 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:36 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:36 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:45:36 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:48:45 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:13 +0530] "GET /Adoption HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/ HTTP/1.1" 200 9694
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/css1/bootstrap.min.css HTTP/1.1" 200 164023
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/img/icon/icon-10.png HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/css1/style.css HTTP/1.1" 200 15964
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/lib/wow/wow.min.js HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [10/Sep/2024:19:49:14 +0530] "GET /Adoption/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
