127.0.0.1 - - [19/Aug/2024:09:34:31 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:33 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:33 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:33 +0530] "GET /IBM_PROJECTS_OJT2024/img/pandas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:34 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:54 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:57 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 31456
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:34:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/endangerspecies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:35:10 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:35:10 +0530] "GET /CrudOperation/ HTTP/1.1" 500 1514
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:35:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:35:13 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:35:15 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:35:15 +0530] "GET /CrudOperation/ HTTP/1.1" 500 1514
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:36:32 +0530] "GET /CrudOperation/ HTTP/1.1" 500 1514
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:38:55 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:38:57 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:38:58 +0530] "GET /CrudOperation/ HTTP/1.1" 200 8214
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:02 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:02 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:05 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:05 +0530] "GET /CrudOperation/ HTTP/1.1" 200 8214
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:06 +0530] "GET /CrudOperation/new HTTP/1.1" 200 6928
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:24 +0530] "GET /CrudOperation/list HTTP/1.1" 200 8214
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:28 +0530] "GET /CrudOperation/delete?speciesID=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:39:28 +0530] "GET /CrudOperation/list HTTP/1.1" 200 6838
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:40:02 +0530] "GET /CrudOperation/new HTTP/1.1" 200 6928
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:41:07 +0530] "POST /CrudOperation/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:41:07 +0530] "GET /CrudOperation/list HTTP/1.1" 200 8118
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:41:12 +0530] "GET /CrudOperation/edit?speciesID=4 HTTP/1.1" 200 7317
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:41:50 +0530] "POST /CrudOperation/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:41:50 +0530] "GET /CrudOperation/list HTTP/1.1" 200 8356
