127.0.0.1 - - [02/Aug/2024:10:08:14 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/registration.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/images/signup-image.jpg HTTP/1.1" 200 20463
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /IBM_PROJECT_2024/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 200 7904
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:08:16 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:39 +0530] "GET /IBM_PROJECT_2024/login.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:39 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:39 +0530] "GET /IBM_PROJECT_2024/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:39 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "POST /IBM_PROJECT_2024/login HTTP/1.1" 200 22729
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/animate/animate.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/img/carousel-1.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-10.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/img/carousel-2.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/img/carousel-3.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/img/about.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/wow/wow.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/easing/easing.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/waypoints/waypoints.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/counterup/counterup.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/lib/lightbox/js/lightbox.min.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [02/Aug/2024:10:09:48 +0530] "GET /IBM_PROJECT_2024/img/icon/icon-2.png HTTP/1.1" 404 800
