127.0.0.1 - - [05/Sep/2024:15:53:14 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/pandas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:53:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:54:58 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33751
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:54:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/endangerspecies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:54:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:55:15 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:55:17 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [05/Sep/2024:15:55:18 +0530] "GET /favicon.ico HTTP/1.1" 404 763
