127.0.0.1 - - [11/Sep/2024:09:45:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:45:08 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:45:08 +0530] "GET /IBM_PROJECTS_OJT2024/img/pandas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:45:16 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:45:53 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:46:00 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:46:53 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:54:20 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:54:24 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:54:35 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:55:05 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:30:19 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:30:22 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:30:30 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:35:12 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:35:12 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:35:12 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:35:12 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:26 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:47 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33353
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/Santosh.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:36:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:37:28 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:37:28 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:37:28 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:37:28 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:45 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:45 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:48 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:48 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:48 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:48 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:57 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33349
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:38:57 +0530] "GET /img/Santosh.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:39:00 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33349
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:39:00 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:39:00 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:39:00 +0530] "GET /img/Santosh.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:00 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:00 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:00 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:00 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:07 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:21 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:23 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:42:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:45:26 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:45:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:45:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:45:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:49:52 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:49:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:49:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:49:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:21 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:46 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33349
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:47 +0530] "GET /img/jitesh.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:50:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:52:22 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:52:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:52:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:52:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:52:31 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:56:23 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:01 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:15 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:35 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:43 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:57:44 +0530] "GET /IBM_PROJECTS_OJT2024/img/jitesh.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:22 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/Jitesh.png HTTP/1.1" 200 797454
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:57 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:58:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/Santosh.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:59:13 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:11:59:13 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:00:42 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:00:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sayan.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:00:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/Akash.png HTTP/1.1" 200 735080
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:01:57 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:01:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/Rakshit.png HTTP/1.1" 200 722610
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:01:57 +0530] "GET /IBM_PROJECTS_OJT2024/img/Jitesh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:05:02 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:05:02 +0530] "GET /IBM_PROJECTS_OJT2024/img/Jitesh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:05:02 +0530] "GET /IBM_PROJECTS_OJT2024/img/Rakshit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:05:02 +0530] "GET /IBM_PROJECTS_OJT2024/img/Akash.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:10:09 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:10:11 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [11/Sep/2024:12:10:15 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
