127.0.0.1 - - [09/Sep/2024:13:42:13 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:16 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33751
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/endangerspecies.jpg HTTP/1.1" 200 126611
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/trust.jpg HTTP/1.1" 200 354300
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/community.jpg HTTP/1.1" 200 847907
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/scientific.jpg HTTP/1.1" 200 401661
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/sayan.png HTTP/1.1" 200 193735
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/raja.png HTTP/1.1" 200 437206
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/santosh.png HTTP/1.1" 200 250923
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:22 +0530] "GET /IBM_PROJECTS_OJT2024/img/7.png HTTP/1.1" 200 1456792
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:26 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:26 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:38 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:38 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/index.html HTTP/1.1" 200 24288
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/e.jpg HTTP/1.1" 200 3270549
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/3.jpg HTTP/1.1" 200 66295
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/1.jpg HTTP/1.1" 200 1087240
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/styles.css HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/5.jpg HTTP/1.1" 200 1159520
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/6.jpg HTTP/1.1" 200 491061
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/4.jpg HTTP/1.1" 200 922974
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/sundarban.jpg HTTP/1.1" 200 118795
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/jim.jpg HTTP/1.1" 200 120244
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/kazi.jpg HTTP/1.1" 200 603306
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/Ranthambhore.jpg HTTP/1.1" 200 105643
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/bandh.jpg HTTP/1.1" 200 95630
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/Kanha-National-Park.png HTTP/1.1" 200 111092
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/periyar.jpg HTTP/1.1" 200 191213
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:49 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/gir.jpg HTTP/1.1" 200 71252
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:50 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/nagarhole.jpg HTTP/1.1" 200 89293
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:50 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/sarishka-nationalpark.jpg HTTP/1.1" 200 150694
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:42:53 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/registration.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:43:00 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:43:15 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:43:18 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:43:20 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:44:08 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33751
0:0:0:0:0:0:0:1 - - [09/Sep/2024:13:45:25 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33346
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:18 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:21 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:26 +0530] "GET /Adoption HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/ HTTP/1.1" 200 9694
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/css1/bootstrap.min.css HTTP/1.1" 200 164023
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/img/icon/icon-10.png HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/css1/style.css HTTP/1.1" 200 15964
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/wow/wow.min.js HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/lib/lightbox/js/lightbox.min.js HTTP/1.1" 200 9418
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/img/wild_video.mp4 HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:28 +0530] "GET /Adoption/js1/main.js HTTP/1.1" 200 3671
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:29 +0530] "GET /Adoption/lib/lightbox/images/next.png HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:29 +0530] "GET /Adoption/lib/lightbox/images/close.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:29 +0530] "GET /Adoption/lib/lightbox/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:29 +0530] "GET /Adoption/lib/lightbox/images/prev.png HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:29 +0530] "GET /Adoption/img/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:18:35 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30845
