127.0.0.1 - - [21/Sep/2024:20:55:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30654
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 200 164023
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 200 15530
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/lib/wow/wow.min.js HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 200 3671
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.js HTTP/1.1" 200 9418
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/indianelephant2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/Indian-one-horned-rhinoceros.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sangai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-1.jpg HTTP/1.1" 200 87890
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:43 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-2.jpg HTTP/1.1" 200 54261
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:44 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/next.png HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:44 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/prev.png HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:44 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/close.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:44 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [21/Sep/2024:20:55:47 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Sep/2024:21:02:09 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30904
0:0:0:0:0:0:0:1 - - [21/Sep/2024:21:02:14 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30904
0:0:0:0:0:0:0:1 - - [21/Sep/2024:21:02:16 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 35522
