127.0.0.1 - - [10/Oct/2024:16:39:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30868
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/pandas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/Research.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:16:39:42 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
