127.0.0.1 - - [30/Aug/2024:16:47:51 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30833
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/Research.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:52 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:47:54 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Aug/2024:16:48:21 +0530] "GET /IBM_PROJECTS_OJT2024/conservation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:09:42 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30833
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:09:42 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:10:18 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:10:19 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13359
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:10:21 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:11:12 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:11:12 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30833
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33739
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/trust.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/scientific.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/community.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/santosh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/raja.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:13:05 +0530] "GET /IBM_PROJECTS_OJT2024/img/7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:17:14:27 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30833
