127.0.0.1 - - [11/Aug/2024:11:45:54 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:57 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 28781
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/animate/animate.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/carousel-1.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/lion.jfif HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/carousel-2.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/img/coala2.jfif HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/wow/wow.min.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/easing/easing.min.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/waypoints/waypoints.min.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/counterup/counterup.min.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:58 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-1.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter.avif HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/Research.png HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter12.png HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/indianelephant2.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/Indian-one-horned-rhinoceros.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sangai.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:45:59 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 28781
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/lib/animate/animate.min.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2024:11:46:08 +0530] "GET /IBM_PROJECTS_OJT2024/img/carousel-1.jpg HTTP/1.1" 500 1515
