0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:54 +0530] "GET /IBM_PROJECTS_OJT2024/registration.jsp HTTP/1.1" 200 9706
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:54 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:54 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:54 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:57 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7640
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:57 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:57 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:39:57 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:09 +0530] "POST /IBM_PROJECTS_OJT2024/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:09 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30765
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:12 +0530] "GET /IBM_PROJECTS_OJT2024/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:12 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7640
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:12 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:12 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:13 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:28 +0530] "POST /IBM_PROJECTS_OJT2024/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:28 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:33 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/add-user.jsp HTTP/1.1" 200 8353
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:42 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:46 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:40:46 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30570
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/ HTTP/1.1" 200 9694
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/wow/wow.min.js HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/img/icon/icon-10.png HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/css1/bootstrap.min.css HTTP/1.1" 200 164023
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/lightbox/js/lightbox.min.js HTTP/1.1" 200 9418
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/js1/main.js HTTP/1.1" 200 3671
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/css1/style.css HTTP/1.1" 200 15964
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/img/wild_video.mp4 HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:06 +0530] "GET /Adoption/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:07 +0530] "GET /Adoption/lib/lightbox/images/close.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:07 +0530] "GET /Adoption/lib/lightbox/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:07 +0530] "GET /Adoption/lib/lightbox/images/prev.png HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:07 +0530] "GET /Adoption/lib/lightbox/images/next.png HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:07 +0530] "GET /Adoption/img/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:19 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30570
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:23 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:27 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:27 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:30 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:30 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30570
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:31 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:34 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:34 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:41 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:41:41 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30570
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:22 +0530] "GET /IBM_PROJECTS_OJT2024/registration.jsp HTTP/1.1" 200 9706
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:22 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:22 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:22 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:26 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7640
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:27 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:27 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:27 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:35 +0530] "POST /IBM_PROJECTS_OJT2024/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:35 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30765
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:41 +0530] "GET /IBM_PROJECTS_OJT2024/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:41 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7640
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:41 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:41 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:41 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:55 +0530] "POST /IBM_PROJECTS_OJT2024/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:46:55 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:47:08 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/add-user.jsp HTTP/1.1" 200 8353
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:47:28 +0530] "POST /IBM_PROJECTS_OJT2024/Admin/add-user.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:47:34 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:47:36 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:48:12 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/add-admin.jsp HTTP/1.1" 200 8036
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:48:13 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:49:50 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:10:49:50 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30570
