127.0.0.1 - - [26/Aug/2024:09:25:17 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30670
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal_page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/protect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/counterup/counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/pandas.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/Research.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/indianelephant2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/Indian-one-horned-rhinoceros.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sangai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:20 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:21 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:21 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:21 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:21 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:23 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:29 +0530] "GET /IBM_PROJECTS_OJT2024/registration.jsp HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:29 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:29 +0530] "GET /IBM_PROJECTS_OJT2024/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:29 +0530] "GET /IBM_PROJECTS_OJT2024/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:29 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:29 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:30 +0530] "GET /IBM_PROJECTS_OJT2024/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:30 +0530] "GET /IBM_PROJECTS_OJT2024/img/signup_video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:32 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 6979
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:32 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:32 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:32 +0530] "GET /IBM_PROJECTS_OJT2024/img/Login_Form.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:25:37 +0530] "POST /IBM_PROJECTS_OJT2024/login HTTP/1.1" 200 30682
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:08 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33419
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/endangerspecies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/trust.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/community.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/scientific.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/raja.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:09 +0530] "GET /IBM_PROJECTS_OJT2024/img/santosh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:30 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:31 +0530] "GET /CrudOperation/ HTTP/1.1" 200 12674
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Aug/2024:09:26:44 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
