127.0.0.1 - - [09/Aug/2024:14:18:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 28781
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/icon/icon-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/carousel-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/lion.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/coala2.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/Research.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/volunter12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/indianelephant2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/Indian-one-horned-rhinoceros.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sangai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2024:14:18:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 304 -
