127.0.0.1 - - [23/Sep/2024:15:53:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30904
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 200 164023
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 200 15530
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/lib/wow/wow.min.js HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:54 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 200 51302
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:55 +0530] "GET /IBM_PROJECTS_OJT2024/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:55 +0530] "GET /IBM_PROJECTS_OJT2024/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:55 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:55 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.js HTTP/1.1" 200 9418
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:53:55 +0530] "GET /IBM_PROJECTS_OJT2024/js1/main.js HTTP/1.1" 200 3671
